CODIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECION;CP;POBLACION;PROVINCIA;PAIS;CERCANIAS;FEVE;COMUN
77112;BORGONYÀ (APD)                          ;42.065014 ;2.241286  ;Carretera Bv-5626 - Carrer Borgonya, S/N;08571;SANT VICENÇ DE TORELLÓ;BARCELONA;ESPAÑA;SI;NO;
77113;SANT QUIRZE DE BESORA-MONTESQUIU        ;42.104658 ;2.216977  ;Calle Estacio Ferrocarril, 2;08580;SANT QUIRZE DE BESORA;BARCELONA;ESPAÑA;SI;NO;
77114;LA FARGA DE BEBIÉ                       ;42.130061 ;2.203924  ;Carretera N-152A - Estacion Ferrocarril, S/N;17532;MONTESQUIU;GIRONA;ESPAÑA;SI;NO;
77200;RIPOLL                                  ;42.195536 ;2.195977  ;Calle Progreso, S/N;17500;RIPOLL;GIRONA;ESPAÑA;SI;NO;
77201;SANT JOAN DE LES ABADESSES              ;;;;;SANT JOAN DE LES ABADESSES;GIRONA;ESPAÑA;NO;NO;
77301;CAMPDEVÀNOL                             ;42.221558 ;2.165877  ;Plaça Estacio Ferrocarril, 1;17530;CAMPDEVÀNOL;GIRONA;ESPAÑA;SI;NO;
77302;AIGUES DE RIBES(APD)                    ;42.2964730;2.16387500;;;CAMPELLES;GIRONA;ESPAÑA;NO;NO;
77303;RIBES DE FRESER                         ;42.301158 ;2.166078  ;Carretera N-260 - Estacion Ferrocarril, S/N;17534;RIBES DE FRESER;GIRONA;ESPAÑA;SI;NO;
77304;PLANOLES (APT)                          ;42.313559 ;2.103078  ;Carretera Giv-4015 - Estacion Ferrocarril, S/N;17535;PLANOLES;GIRONA;ESPAÑA;SI;NO;
77305;TOSES (APT)                             ;42.324189 ;2.029728  ;Carretera Giv-4016 - Estacion Ferrocarril, 8;17536;TOSES;GIRONA;ESPAÑA;SI;NO;
77306;LA MOLINA                               ;42.344529 ;1.956006  ;Carrer L'Estacio Ferrocarril, 3;17537;ALP;GIRONA;ESPAÑA;SI;NO;
77307;URTX-ALP (APT)                          ;42.375375 ;1.899526  ;Carretera Giv-4082 - Estacion Ferrocarril, S/N;17538;ALP;GIRONA;ESPAÑA;SI;NO;
77308;QUEIXANS (APD)                          ;42.3980280;1.91532700;;;FONTANALS DE CERDANYA;GIRONA;ESPAÑA;NO;NO;
77309;PUIGCERDÀ                               ;42.428908 ;1.924085  ;Plaça de L'Estacio Ferrocarril, 5;17520;PUIGCERDÀ;GIRONA;ESPAÑA;SI;NO;
77310;LA TOUR DE CAROL                        ;42.458629 ;1.904703  ;28 Avenue Du Puymorens;;LA TOUR DE CARO;GIRONA;ESPAÑA;SI;NO;
78004;SAN JUAN DE MOZARRIFAR (APT)            ;41.7224290;-0.8431800;;;ZARAGOZA;ZARAGOZA;ESPAÑA;NO;NO;
78005;VILLANUEVA DE GÁLLEGO                   ;41.7655100;-0.8222040;Calle Estacion Ferrocarril, S/N;50830;VILLANUEVA DE GÁLLEGO;ZARAGOZA;ESPAÑA;NO;NO;
78006;;;;;;ZARAGOZA;;;NO;NO;
78100;ZUERA                                   ;41.8771660;-0.7641720;Plaza del Canfranc, 8;50800;ZUERA;ZARAGOZA;ESPAÑA;NO;NO;
78101;ONTINAR DEL SAZ (APD)                   ;;;;;ZUERA;ZARAGOZA;ESPAÑA;NO;NO;
78102;ALMUDÉVAR                               ;41.9967140;-0.6436220;;;ALMUDÉVAR;HUESCA;ESPAÑA;NO;NO;
78200;TARDIENTA                               ;41.9757160;-0.5382230;Plaza Estacion Ferrocarril, S/N;22240;TARDIENTA;HUESCA;ESPAÑA;NO;NO;
78201;GRAÑÉN                                  ;41.9380330;-0.3693290;Calle Ronda de Aragon, S/N;22260;GRAÑÉN;HUESCA;ESPAÑA;NO;NO;
78202;MARCEN-POLEÑINO                         ;41.8819110;-0.2834560;;;TRAMACED;HUESCA;ESPAÑA;NO;NO;
78203;SARIÑENA                                ;41.8175290;-0.1707600;Barrio Estacion Ferrocarril, S/N;22200;SARIÑENA;HUESCA;ESPAÑA;NO;NO;
78204;TORMILLO-LASTANOSA (APT)                ;41.8489360;-0.0367650;;;PERALTA DE ALCOFEA;HUESCA;ESPAÑA;NO;NO;
78300;SELGUA                                  ;41.9063330;0.14818700;;;MONZÓN;HUESCA;ESPAÑA;NO;NO;
78301;MONZÓN-RÍO CINCA                        ;41.9136790;0.19693900;Plaza Estacion Ferrocarril, S/N;22400;MONZÓN;HUESCA;ESPAÑA;NO;NO;
78302;BINÉFAR                                 ;41.8497680;0.29147800;Avenida de Aragon, S/N;22500;BINÉFAR;HUESCA;ESPAÑA;NO;NO;
78303;TAMARITE-ALTORRICON                     ;41.7777290;0.37775000;;;TAMARITE DE LITERA;HUESCA;ESPAÑA;NO;NO;
78304;ALMACELLES                              ;41.7309830;0.44618000;;;ALMACELLES;LLEIDA;ESPAÑA;NO;NO;
78305;RAIMAT                                  ;41.6860210;0.47687200;;;LLEIDA;LLEIDA;ESPAÑA;NO;NO;
78400;LLEIDA-PIRINEUS                         ;41.6206960;0.63266900;Plaça Berenguer Iv, S/N;25007;LLEIDA;LLEIDA;ESPAÑA;SI;NO;
78401;PLA DE VILANOVETA                       ;41.6264810;0.71482900;;;LLEIDA;LLEIDA;ESPAÑA;NO;NO;
78402;BELL-LLOC D'URGELL                      ;41.6316190;0.78154700;Carrer de L'Estacio, S/N;25220;BELL-LLOC D'URGELL;LLEIDA;ESPAÑA;NO;NO;
78403;MOLLERUSSA                              ;41.6317790;0.89677500;Plaça L'Estacio Ferrocarril, 4;25230;MOLLERUSSA;LLEIDA;ESPAÑA;NO;NO;
78404;GOLMÉS                                  ;41.6359290;0.93086300;Passeig L'Estacio Ferrocarril, S/N;25241;GOLMÉS;LLEIDA;ESPAÑA;NO;NO;
78405;CASTELLNOU DE SEANA                     ;41.6374640;0.96773600;Carretera Lv-3443 - Estacion Ferrocarril, S/N;25265;CASTELLNOU DE SEANA;LLEIDA;ESPAÑA;NO;NO;
78406;BELLPUIG                                ;41.6325450;1.01299300;Avinguda de Lleida, S/N;25250;BELLPUIG;LLEIDA;ESPAÑA;NO;NO;
78407;ANGLESOLA                               ;41.6464480;1.07919200;Carretera Lv-3342 - Estacion Ferocarril, S/N;25320;ANGLESOLA;LLEIDA;ESPAÑA;NO;NO;
78408;TÀRREGA                                 ;41.6503870;1.13896300;Carre del Segle Xx, S/N;25300;TÀRREGA;LLEIDA;ESPAÑA;NO;NO;
78500;CERVERA                                 ;41.6736110;1.27477300;Passeig de L'Estacio Ferrocarril, S/N;25200;CERVERA;LLEIDA;ESPAÑA;NO;NO;
78501;SANT GUIM DE FREIXENET                  ;41.6559240;1.42053000;Plaça de L'Estacio, S/N;25270;SANT GUIM DE FREIXENET;LLEIDA;ESPAÑA;NO;NO;
78502;SANT MARTÍ SESGUEIOLES                  ;41.7012170;1.48620400;Passeig dels Germans Fom, S/N;08282;SANT MARTÍ SESGUEIOLES;BARCELONA;ESPAÑA;NO;NO;
78503;CALAF                                   ;41.7303340;1.51509700;Avenida Josep Miro, 1;08280;CALAF;BARCELONA;ESPAÑA;NO;NO;
78504;SEGUERS-SANT PERE SALLAVINERA           ;41.7479910;1.57416700;Carretera Bv-3051 - Estacion de Ferrocarril, S/N;08281;SANT PERE SALLAVINERA;BARCELONA;ESPAÑA;NO;NO;
78505;AGUILAR DE SEGARRA                      ;41.7389170;1.62372000;Carretera Bv-3009 - Estacion Ferrocarril, 18;08256;AGUILAR DE SEGARRA;BARCELONA;ESPAÑA;NO;NO;
78506;RAJADELL                                ;41.7331590;1.69627500;Carretera Bv-3012 - Estacion Ferrocarril, S/N;08256;RAJADELL;BARCELONA;ESPAÑA;NO;NO;
